Entrez	Accession	Species	Gene Name
74053	Q5DTG7	Mus musculus	glutamate receptor interacting protein 1
74053	Q925T6	Mus musculus	glutamate receptor interacting protein 1
74053	Q6GQT7	Mus musculus	glutamate receptor interacting protein 1
74053	Q6X4T6	Mus musculus	glutamate receptor interacting protein 1
74053	Q6WE29	Mus musculus	glutamate receptor interacting protein 1
74053	Q8C0T3	Mus musculus	glutamate receptor interacting protein 1
74053	Q8BLQ3	Mus musculus	glutamate receptor interacting protein 1
74053	Q6NWW3	Mus musculus	glutamate receptor interacting protein 1
75991	Q8BHV0	Mus musculus	"SLAIN motif family, member 2"
75991	Q05DK1	Mus musculus	"SLAIN motif family, member 2"
75991	Q6ZPQ5	Mus musculus	"SLAIN motif family, member 2"
75991	Q8VCP7	Mus musculus	"SLAIN motif family, member 2"
75991	Q8CI08	Mus musculus	"SLAIN motif family, member 2"
75991	Q3UJI9	Mus musculus	"SLAIN motif family, member 2"
20910	Q8VD51	Mus musculus	syntaxin binding protein 1
20910	O08599	Mus musculus	syntaxin binding protein 1
20910	A2ARS2	Mus musculus	syntaxin binding protein 1
20910	A2ARS4	Mus musculus	syntaxin binding protein 1
20910	A2ARS3	Mus musculus	syntaxin binding protein 1
20910	Q5WAC6	Mus musculus	syntaxin binding protein 1
218756	Q3U5H7	Mus musculus	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
218756	Q9JL09	Mus musculus	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
218756	Q8BWZ4	Mus musculus	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
218756	Q8BTY2	Mus musculus	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
14680	Q61020	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q8CGK7	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q61589	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q8BHK8	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q8C040	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q66L47	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14680	Q3TY78	Mus musculus	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
14682	Q6PFF5	Mus musculus	"guanine nucleotide binding protein, alpha q polypeptide"
14682	Q3UHH5	Mus musculus	"guanine nucleotide binding protein, alpha q polypeptide"
14682	P21279	Mus musculus	"guanine nucleotide binding protein, alpha q polypeptide"
14681	P18873	Mus musculus	"guanine nucleotide binding protein, alpha O"
14681	P18872	Mus musculus	"guanine nucleotide binding protein, alpha O"
14681	Q543S2	Mus musculus	"guanine nucleotide binding protein, alpha O"
20044	O70569	Mus musculus	predicted gene 6204; ribosomal protein S14
20044	Q3UJS5	Mus musculus	predicted gene 6204; ribosomal protein S14
20044	P06366	Mus musculus	predicted gene 6204; ribosomal protein S14
20044	Q544W4	Mus musculus	predicted gene 6204; ribosomal protein S14
20044	P62264	Mus musculus	predicted gene 6204; ribosomal protein S14
14683	Q8BUB2	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q3TWS9	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9JJ33	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q8BIR3	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A608	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9QXW5	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A606	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A607	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9Z1R7	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A6PW69	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q3TFV3	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9QYZ0	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9Z1N8	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9Z271	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	P08755	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	P63094	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6P7U9	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9WUC0	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q58E62	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9JJX0	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6R2J5	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A613	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9JJ21	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A610	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6R0H7	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A612	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q3KQM5	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6R0H6	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A2A611	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6R0H5	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A6PW70	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9Z0F1	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q80ZK6	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A6PW71	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	A6PW72	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6LEA6	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q6R0H4	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q8K5E1	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q3UI70	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	P04894	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q9Z0H2	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14683	Q8C372	Mus musculus	"GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus"
14677	B2RSH2	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 1"
14677	Q61018	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 1"
14674	Q9D034	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	Q8C5L2	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	Q6PF99	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	A2AA49	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	Q3UE40	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	Q8K086	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14674	P27601	Mus musculus	"guanine nucleotide binding protein, alpha 13"
14675	Q8R2X9	Mus musculus	"guanine nucleotide binding protein, alpha 14"
14675	Q8C3M7	Mus musculus	"guanine nucleotide binding protein, alpha 14"
14675	P30677	Mus musculus	"guanine nucleotide binding protein, alpha 14"
14675	Q8CBT5	Mus musculus	"guanine nucleotide binding protein, alpha 14"
69131	Q14AX6	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	Q3TNY6	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	Q8R457	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	Q9CVL4	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	Q6ZQ27	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	A2A530	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
69131	A2A531	Mus musculus	"CDC2-related kinase, arginine/serine-rich"
14678	Q6P1C0	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)"
14678	P08752	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)"
14678	Q3TXK7	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)"
14678	Q8JZT4	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)"
14678	Q922Y6	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)"
52822	Q6PE64	Mus musculus	RUN and FYVE domain containing 3
52822	Q8VD10	Mus musculus	RUN and FYVE domain containing 3
52822	Q8BLC2	Mus musculus	RUN and FYVE domain containing 3
52822	Q3U348	Mus musculus	RUN and FYVE domain containing 3
52822	Q3UF96	Mus musculus	RUN and FYVE domain containing 3
52822	Q9D394	Mus musculus	RUN and FYVE domain containing 3
14679	A2AE36	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
14679	Q9DC51	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
14679	Q61019	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
14679	Q3TGV1	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
14679	Q3TJH1	Mus musculus	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
20916	Q05BC6	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q8BGS6	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q3TVH1	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q9Z2I9	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q3UCC6	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q3U6C7	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
20916	Q9CTE2	Mus musculus	"succinate-Coenzyme A ligase, ADP-forming, beta subunit"
68539	Q3UBX0	Mus musculus	transmembrane protein 109
68539	Q8R006	Mus musculus	transmembrane protein 109
235339	Q91ZB1	Mus musculus	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
235339	Q99LL2	Mus musculus	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
235339	Q8R339	Mus musculus	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
235339	Q8K2G8	Mus musculus	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
235339	Q8BMF4	Mus musculus	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
100732	Q6PER3	Mus musculus	"microtubule-associated protein, RP/EB family, member 3"
100732	Q2UZW7	Mus musculus	"microtubule-associated protein, RP/EB family, member 3"
100732	Q61167	Mus musculus	"microtubule-associated protein, RP/EB family, member 3"
14672	Q8C2E2	Mus musculus	"guanine nucleotide binding protein, alpha 11"
14672	Q61939	Mus musculus	"guanine nucleotide binding protein, alpha 11"
14672	Q3UPA1	Mus musculus	"guanine nucleotide binding protein, alpha 11"
14672	P21278	Mus musculus	"guanine nucleotide binding protein, alpha 11"
14672	Q91X95	Mus musculus	"guanine nucleotide binding protein, alpha 11"
226525	Q0VAV5	Mus musculus	RAS protein activator like 2
226525	Q3TPW3	Mus musculus	RAS protein activator like 2
226525	Q8BU92	Mus musculus	RAS protein activator like 2
226562	Q3TLH4	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q66K03	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q05CS4	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q6P3F4	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q3UXU5	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q8C1K7	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q05DM5	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q80YR0	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q4FZE4	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q3TKF3	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q8BMJ4	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q80TK3	Mus musculus	BAT2 domain containing 1; predicted gene 4972
226562	Q8CGH3	Mus musculus	BAT2 domain containing 1; predicted gene 4972
20927	Q8BIU4	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	Q9JL44	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	Q6PGE2	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	Q8BNE2	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	B2RUS7	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	Q9Z2P1	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
20927	Q9Z2P2	Mus musculus	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
239217	Q3T9E3	Mus musculus	potassium channel tetramerisation domain containing 12
239217	Q6WVG3	Mus musculus	potassium channel tetramerisation domain containing 12
239217	Q69ZA6	Mus musculus	potassium channel tetramerisation domain containing 12
239217	Q14AX3	Mus musculus	potassium channel tetramerisation domain containing 12
239217	Q8CBQ4	Mus musculus	potassium channel tetramerisation domain containing 12
239217	Q8C2V2	Mus musculus	potassium channel tetramerisation domain containing 12
140579	Q5GMG5	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q5GMG0	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8CC50	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8CBM8	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q5GMG3	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8CH98	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q9CT75	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8BQG1	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q91ZU2	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8BHL5	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	A2A5A6	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	A2A5A7	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	A2A5A4	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	A2A5A5	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
140579	Q8BHL9	Mus musculus	"engulfment and cell motility 2, ced-12 homolog (C. elegans)"
69642	Q5FW52	Mus musculus	RIKEN cDNA 2310046A06 gene
69642	A2RRY2	Mus musculus	RIKEN cDNA 2310046A06 gene
69642	Q9D6X9	Mus musculus	RIKEN cDNA 2310046A06 gene
50876	Q8BGX9	Mus musculus	tropomodulin 2
50876	Q9CUK4	Mus musculus	tropomodulin 2
50876	Q9JKK7	Mus musculus	tropomodulin 2
50876	Q9JLH9	Mus musculus	tropomodulin 2
50876	Q3UH50	Mus musculus	tropomodulin 2
381760	Q9CYR0	Mus musculus	predicted gene 12115; single-stranded DNA binding protein 1
381760	Q8R2K3	Mus musculus	predicted gene 12115; single-stranded DNA binding protein 1
69641	Q3ULP2	Mus musculus	WD repeat domain 20A
69641	Q9D721	Mus musculus	WD repeat domain 20A
69641	Q8R0J5	Mus musculus	WD repeat domain 20A
69641	Q3UWE6	Mus musculus	WD repeat domain 20A
109754	Q9CY59	Mus musculus	cytochrome b5 reductase 3
109754	Q9DCN2	Mus musculus	cytochrome b5 reductase 3
68524	Q6PEV3	Mus musculus	"WAS/WASL interacting protein family, member 2"
20068	Q8BT90	Mus musculus	predicted gene 7780; similar to 40S ribosomal protein S17; predicted gene 2614; ribosomal protein S17; predicted gene 6402; predicted gene 14586; predicted gene 12034
20068	P06584	Mus musculus	predicted gene 7780; similar to 40S ribosomal protein S17; predicted gene 2614; ribosomal protein S17; predicted gene 6402; predicted gene 14586; predicted gene 12034
20068	Q3TK12	Mus musculus	predicted gene 7780; similar to 40S ribosomal protein S17; predicted gene 2614; ribosomal protein S17; predicted gene 6402; predicted gene 14586; predicted gene 12034
20068	Q5M9L7	Mus musculus	predicted gene 7780; similar to 40S ribosomal protein S17; predicted gene 2614; ribosomal protein S17; predicted gene 6402; predicted gene 14586; predicted gene 12034
20068	P63276	Mus musculus	predicted gene 7780; similar to 40S ribosomal protein S17; predicted gene 2614; ribosomal protein S17; predicted gene 6402; predicted gene 14586; predicted gene 12034
320271	Q8C4E7	Mus musculus	RIKEN cDNA A930041I02 gene
320271	Q8C8K2	Mus musculus	RIKEN cDNA A930041I02 gene
320271	Q8C409	Mus musculus	RIKEN cDNA A930041I02 gene
320271	A3KGQ2	Mus musculus	RIKEN cDNA A930041I02 gene
320271	Q3TQB4	Mus musculus	RIKEN cDNA A930041I02 gene
320271	Q8C8N2	Mus musculus	RIKEN cDNA A930041I02 gene
320271	A2RTF5	Mus musculus	RIKEN cDNA A930041I02 gene
140580	Q8BPU7	Mus musculus	"engulfment and cell motility 1, ced-12 homolog (C. elegans)"
140580	Q91ZU3	Mus musculus	"engulfment and cell motility 1, ced-12 homolog (C. elegans)"
140580	Q8BSY9	Mus musculus	"engulfment and cell motility 1, ced-12 homolog (C. elegans)"
140580	Q571D6	Mus musculus	"engulfment and cell motility 1, ced-12 homolog (C. elegans)"
140580	Q8K2C5	Mus musculus	"engulfment and cell motility 1, ced-12 homolog (C. elegans)"
67792	Q9D389	Mus musculus	regulator of G-protein signaling 8
67792	Q505F2	Mus musculus	regulator of G-protein signaling 8
67792	Q8BXT1	Mus musculus	regulator of G-protein signaling 8
14696	Q3U2F9	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	Q8R475	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	P29387	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	Q9JHX8	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	Q3TJJ1	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	Q3THF3	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14696	Q3TY18	Mus musculus	"guanine nucleotide binding protein (G protein), beta 4"
14697	Q3UG14	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	Q91WB3	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	O35354	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	P54314	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	P62881	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	Q9CU21	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	Q3V331	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
14697	Q3TSE8	Mus musculus	"guanine nucleotide binding protein (G protein), beta 5"
20463	Q99KD6	Mus musculus	cytochrome c oxidase subunit VIIa polypeptide 2-like; predicted gene 6969
20463	Q3U7R2	Mus musculus	cytochrome c oxidase subunit VIIa polypeptide 2-like; predicted gene 6969
20463	Q3UDK5	Mus musculus	cytochrome c oxidase subunit VIIa polypeptide 2-like; predicted gene 6969
20463	Q61387	Mus musculus	cytochrome c oxidase subunit VIIa polypeptide 2-like; predicted gene 6969
50884	Q99KY0	Mus musculus	NCK-associated protein 1
50884	Q3UPY6	Mus musculus	NCK-associated protein 1
50884	A2AS97	Mus musculus	NCK-associated protein 1
50884	Q8CG49	Mus musculus	NCK-associated protein 1
50884	A2AS98	Mus musculus	NCK-associated protein 1
50884	P28660	Mus musculus	NCK-associated protein 1
50884	Q80TX0	Mus musculus	NCK-associated protein 1
50884	A1L0U6	Mus musculus	NCK-associated protein 1
69654	Q3TPZ5	Mus musculus	dynactin 2
69654	Q8BW43	Mus musculus	dynactin 2
69654	Q99KJ8	Mus musculus	dynactin 2
14695	Q8BMQ1	Mus musculus	"guanine nucleotide binding protein (G protein), beta 3"
14695	Q61011	Mus musculus	"guanine nucleotide binding protein (G protein), beta 3"
14695	Q54AE3	Mus musculus	"guanine nucleotide binding protein (G protein), beta 3"
20055	Q5CZY9	Mus musculus	predicted gene 8731; predicted gene 7504; similar to Rps16 protein; ribosomal protein S16
20055	P14131	Mus musculus	predicted gene 8731; predicted gene 7504; similar to Rps16 protein; ribosomal protein S16
20055	A4FUS1	Mus musculus	predicted gene 8731; predicted gene 7504; similar to Rps16 protein; ribosomal protein S16
20055	Q641N3	Mus musculus	predicted gene 8731; predicted gene 7504; similar to Rps16 protein; ribosomal protein S16
20055	Q3THM9	Mus musculus	predicted gene 8731; predicted gene 7504; similar to Rps16 protein; ribosomal protein S16
78779	Q5DTL7	Mus musculus	spermatogenesis associated 2-like
78779	B2RTE8	Mus musculus	spermatogenesis associated 2-like
78779	Q3UTL5	Mus musculus	spermatogenesis associated 2-like
78779	Q8BNN1	Mus musculus	spermatogenesis associated 2-like
80708	Q9EQP9	Mus musculus	protein kinase C and casein kinase substrate in neurons 3
80708	Q99JB8	Mus musculus	protein kinase C and casein kinase substrate in neurons 3
80708	Q543N7	Mus musculus	protein kinase C and casein kinase substrate in neurons 3
80708	A6PWR1	Mus musculus	protein kinase C and casein kinase substrate in neurons 3
14693	P11016	Mus musculus	"guanine nucleotide binding protein (G protein), beta 2"
14693	Q3U9V4	Mus musculus	"guanine nucleotide binding protein (G protein), beta 2"
14693	P54312	Mus musculus	"guanine nucleotide binding protein (G protein), beta 2"
14693	Q9QWG2	Mus musculus	"guanine nucleotide binding protein (G protein), beta 2"
14693	P62880	Mus musculus	"guanine nucleotide binding protein (G protein), beta 2"
20054	Q52KC9	Mus musculus	similar to 40S ribosomal protein S15 (RIG protein); predicted gene 6921; similar to insulinoma protein (rig); predicted gene 8460; predicted gene 7121; predicted gene 5781; predicted gene 5508; predicted gene 6867; ribosomal protein S15
20054	P62843	Mus musculus	similar to 40S ribosomal protein S15 (RIG protein); predicted gene 6921; similar to insulinoma protein (rig); predicted gene 8460; predicted gene 7121; predicted gene 5781; predicted gene 5508; predicted gene 6867; ribosomal protein S15
20054	Q3UK70	Mus musculus	similar to 40S ribosomal protein S15 (RIG protein); predicted gene 6921; similar to insulinoma protein (rig); predicted gene 8460; predicted gene 7121; predicted gene 5781; predicted gene 5508; predicted gene 6867; ribosomal protein S15
20054	P11174	Mus musculus	similar to 40S ribosomal protein S15 (RIG protein); predicted gene 6921; similar to insulinoma protein (rig); predicted gene 8460; predicted gene 7121; predicted gene 5781; predicted gene 5508; predicted gene 6867; ribosomal protein S15
20054	Q3UXS6	Mus musculus	similar to 40S ribosomal protein S15 (RIG protein); predicted gene 6921; similar to insulinoma protein (rig); predicted gene 8460; predicted gene 7121; predicted gene 5781; predicted gene 5508; predicted gene 6867; ribosomal protein S15
13728	Q571J8	Mus musculus	MAP/microtubule affinity-regulating kinase 2
13728	Q6PDR4	Mus musculus	MAP/microtubule affinity-regulating kinase 2
13728	Q3U3A1	Mus musculus	MAP/microtubule affinity-regulating kinase 2
13728	Q3UPZ7	Mus musculus	MAP/microtubule affinity-regulating kinase 2
